Total Number of Records            144.,,,,,
             DATA SET: https://data.pmel.noaa.gov/pmel/thredds/dodsC/data/PMEL/WOA05nc/monthly/i0112an1.nc,,,,,
             World Ocean Atlas 2005,,,,,
             X: 0.5 to 144.5,,,,,
 Column  1: DATETIME is Time String,,,,,
 Column  2: TIME is Time Coordinates (days since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34,,,,,
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34,,,,,
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34,,,,,
 Column  5: DEP is depth (m)   BAD FLAG : -1.E+34,,,,,
 Column  6: I0112AN1 is Silicate (uM)   BAD FLAG : -1.E+34,,,,,
DATETIME,TIME,LON,LAT,DEP,I0112AN1
2021-01-15,380.242,-40.5,49.5,0,4.8287
2021-01-15,380.242,-40.5,49.5,10,5.0393
2021-01-15,380.242,-40.5,49.5,20,5.2491
2021-01-15,380.242,-40.5,49.5,30,5.3279
2021-01-15,380.242,-40.5,49.5,50,5.2343
2021-01-15,380.242,-40.5,49.5,75,5.3171
2021-01-15,380.242,-40.5,49.5,100,4.9875
2021-01-15,380.242,-40.5,49.5,125,5.1199
2021-01-15,380.242,-40.5,49.5,150,5.1587
2021-01-15,380.242,-40.5,49.5,200,5.2401
2021-01-15,380.242,-40.5,49.5,250,5.2179
2021-01-15,380.242,-40.5,49.5,300,5.3014
2021-02-13,409.242,-40.5,49.5,0,4.828
2021-02-13,409.242,-40.5,49.5,10,4.676
2021-02-13,409.242,-40.5,49.5,20,4.7806
2021-02-13,409.242,-40.5,49.5,30,4.7768
2021-02-13,409.242,-40.5,49.5,50,5.0429
2021-02-13,409.242,-40.5,49.5,75,5.2494
2021-02-13,409.242,-40.5,49.5,100,5.193
2021-02-13,409.242,-40.5,49.5,125,5.2656
2021-02-13,409.242,-40.5,49.5,150,5.1241
2021-02-13,409.242,-40.5,49.5,200,5.2395
2021-02-13,409.242,-40.5,49.5,250,5.2175
2021-02-13,409.242,-40.5,49.5,300,5.3002
2021-03-14,438.742,-40.5,49.5,0,4.8892
2021-03-14,438.742,-40.5,49.5,10,4.9135
2021-03-14,438.742,-40.5,49.5,20,4.9811
2021-03-14,438.742,-40.5,49.5,30,5.0184
2021-03-14,438.742,-40.5,49.5,50,5.0857
2021-03-14,438.742,-40.5,49.5,75,5.0693
2021-03-14,438.742,-40.5,49.5,100,4.9723
2021-03-14,438.742,-40.5,49.5,125,4.8059
2021-03-14,438.742,-40.5,49.5,150,4.5682
2021-03-14,438.742,-40.5,49.5,200,4.9131
2021-03-14,438.742,-40.5,49.5,250,4.9283
2021-03-14,438.742,-40.5,49.5,300,5.0415
2021-04-14,469.242,-40.5,49.5,0,3.0417
2021-04-14,469.242,-40.5,49.5,10,5.2737
2021-04-14,469.242,-40.5,49.5,20,3.5155
2021-04-14,469.242,-40.5,49.5,30,4.6879
2021-04-14,469.242,-40.5,49.5,50,6.5081
2021-04-14,469.242,-40.5,49.5,75,10.1205
2021-04-14,469.242,-40.5,49.5,100,7.4821
2021-04-14,469.242,-40.5,49.5,125,6.6108
2021-04-14,469.242,-40.5,49.5,150,8.3965
2021-04-14,469.242,-40.5,49.5,200,9.626
2021-04-14,469.242,-40.5,49.5,250,8.2489
2021-04-14,469.242,-40.5,49.5,300,8.1001
2021-05-14,499.742,-40.5,49.5,0,2.6067
2021-05-14,499.742,-40.5,49.5,10,1.8635
2021-05-14,499.742,-40.5,49.5,20,2.1139
2021-05-14,499.742,-40.5,49.5,30,3.2491
2021-05-14,499.742,-40.5,49.5,50,3.5792
2021-05-14,499.742,-40.5,49.5,75,7.0749
2021-05-14,499.742,-40.5,49.5,100,5.6825
2021-05-14,499.742,-40.5,49.5,125,4.6323
2021-05-14,499.742,-40.5,49.5,150,7.5934
2021-05-14,499.742,-40.5,49.5,200,10.7254
2021-05-14,499.742,-40.5,49.5,250,6.8527
2021-05-14,499.742,-40.5,49.5,300,7.5866
2021-06-14,530.242,-40.5,49.5,0,3.3584
2021-06-14,530.242,-40.5,49.5,10,3.003
2021-06-14,530.242,-40.5,49.5,20,2.9159
2021-06-14,530.242,-40.5,49.5,30,3.3401
2021-06-14,530.242,-40.5,49.5,50,3.6213
2021-06-14,530.242,-40.5,49.5,75,5.3584
2021-06-14,530.242,-40.5,49.5,100,6.0684
2021-06-14,530.242,-40.5,49.5,125,6.2455
2021-06-14,530.242,-40.5,49.5,150,7.6463
2021-06-14,530.242,-40.5,49.5,200,9.0919
2021-06-14,530.242,-40.5,49.5,250,8.8025
2021-06-14,530.242,-40.5,49.5,300,10.1263
2021-07-14,560.742,-40.5,49.5,0,1.6843
2021-07-14,560.742,-40.5,49.5,10,1.6866
2021-07-14,560.742,-40.5,49.5,20,1.3853
2021-07-14,560.742,-40.5,49.5,30,1.6651
2021-07-14,560.742,-40.5,49.5,50,2.7946
2021-07-14,560.742,-40.5,49.5,75,4.003
2021-07-14,560.742,-40.5,49.5,100,5.2198
2021-07-14,560.742,-40.5,49.5,125,5.851
2021-07-14,560.742,-40.5,49.5,150,6.2959
2021-07-14,560.742,-40.5,49.5,200,7.1232
2021-07-14,560.742,-40.5,49.5,250,7.935
2021-07-14,560.742,-40.5,49.5,300,8.3397
2021-08-14,591.742,-40.5,49.5,0,1.2917
2021-08-14,591.742,-40.5,49.5,10,1.4131
2021-08-14,591.742,-40.5,49.5,20,1.5602
2021-08-14,591.742,-40.5,49.5,30,1.7923
2021-08-14,591.742,-40.5,49.5,50,4.7843
2021-08-14,591.742,-40.5,49.5,75,6.4249
2021-08-14,591.742,-40.5,49.5,100,6.8519
2021-08-14,591.742,-40.5,49.5,125,6.9813
2021-08-14,591.742,-40.5,49.5,150,7.2356
2021-08-14,591.742,-40.5,49.5,200,7.5594
2021-08-14,591.742,-40.5,49.5,250,7.5954
2021-08-14,591.742,-40.5,49.5,300,8.0434
2021-09-14,622.242,-40.5,49.5,0,2.7884
2021-09-14,622.242,-40.5,49.5,10,2.9486
2021-09-14,622.242,-40.5,49.5,20,2.2584
2021-09-14,622.242,-40.5,49.5,30,2.3811
2021-09-14,622.242,-40.5,49.5,50,3.8315
2021-09-14,622.242,-40.5,49.5,75,6.4603
2021-09-14,622.242,-40.5,49.5,100,7.8445
2021-09-14,622.242,-40.5,49.5,125,6.2225
2021-09-14,622.242,-40.5,49.5,150,7.5846
2021-09-14,622.242,-40.5,49.5,200,8.6581
2021-09-14,622.242,-40.5,49.5,250,7.451
2021-09-14,622.242,-40.5,49.5,300,7.1252
2021-10-14,652.742,-40.5,49.5,0,2.3099
2021-10-14,652.742,-40.5,49.5,10,2.2239
2021-10-14,652.742,-40.5,49.5,20,2.2298
2021-10-14,652.742,-40.5,49.5,30,2.6584
2021-10-14,652.742,-40.5,49.5,50,3.2453
2021-10-14,652.742,-40.5,49.5,75,4.9719
2021-10-14,652.742,-40.5,49.5,100,6.1521
2021-10-14,652.742,-40.5,49.5,125,6.2346
2021-10-14,652.742,-40.5,49.5,150,6.4171
2021-10-14,652.742,-40.5,49.5,200,6.9656
2021-10-14,652.742,-40.5,49.5,250,7.3465
2021-10-14,652.742,-40.5,49.5,300,9.3495
2021-11-14,683.742,-40.5,49.5,0,2.5598
2021-11-14,683.742,-40.5,49.5,10,2.4535
2021-11-14,683.742,-40.5,49.5,20,2.0545
2021-11-14,683.742,-40.5,49.5,30,2.4697
2021-11-14,683.742,-40.5,49.5,50,2.5453
2021-11-14,683.742,-40.5,49.5,75,3.3075
2021-11-14,683.742,-40.5,49.5,100,5.7426
2021-11-14,683.742,-40.5,49.5,125,6.1295
2021-11-14,683.742,-40.5,49.5,150,6.2891
2021-11-14,683.742,-40.5,49.5,200,7.2091
2021-11-14,683.742,-40.5,49.5,250,8.2113
2021-11-14,683.742,-40.5,49.5,300,8.4888
2021-12-15,714.242,-40.5,49.5,0,2.5974
2021-12-15,714.242,-40.5,49.5,10,2.5897
2021-12-15,714.242,-40.5,49.5,20,2.2584
2021-12-15,714.242,-40.5,49.5,30,2.6539
2021-12-15,714.242,-40.5,49.5,50,4.326
2021-12-15,714.242,-40.5,49.5,75,3.2216
2021-12-15,714.242,-40.5,49.5,100,7.2302
2021-12-15,714.242,-40.5,49.5,125,9.1399
2021-12-15,714.242,-40.5,49.5,150,7.2733
2021-12-15,714.242,-40.5,49.5,200,7.3233
2021-12-15,714.242,-40.5,49.5,250,9.6307
2021-12-15,714.242,-40.5,49.5,300,10.996
